"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,132,yandex,cpc,freemium,21654,132,26,1726717
2023-06-01,130,vk,cpc,freemium-frontend,3160,84,9,552181
2023-06-01,99,vk,cpc,prof-python,2028,67,7,588004
2023-06-01,97,yandex,cpc,prof-frontend,57138,97,15,1430340
2023-06-01,90,vk,cpc,base-python,2537,65,2,32072
2023-06-01,87,vk,cpc,prof-java,3115,54,3,383918
2023-06-01,85,yandex,cpc,prof-python,33026,85,12,954735
2023-06-01,77,vk,cpc,prof-data-analytics,1072,57,5,253444
2023-06-01,76,vk,cpc,freemium-java,487,56,0,
2023-06-01,67,vk,cpc,freemium-python,980,45,3,249186
2023-06-01,64,yandex,cpc,prof-java,29490,64,5,355987
2023-06-01,54,yandex,cpc,base-frontend,18061,54,4,322155
2023-06-01,37,yandex,cpc,base-python,12524,37,8,547928
2023-06-01,26,yandex,cpc,base-java,19252,26,2,168000
2023-06-01,25,yandex,cpc,prof-professions-brand,4818,25,4,230307
